date,jm,j,i,rb,hc
2021-08-10,2200,3170,1135,5276,5763
2021-08-11,2300,3170,1104,5395,5763
2021-08-12,2035.5,3170,1106,5350,5763
2021-08-13,2050,3170,1119,5310,5763
2021-08-16,2408,3198,971,5300,5760
2021-08-17,2465,3275,968,5212,5740
2021-08-18,2550.5,3317,936,5027,5618
2021-08-19,2723,3468,870,4939,5560
2021-08-20,2866,3475,890,5020,5605
2021-08-23,2865.5,3645,887.5,5087,5637
2021-08-24,2769,3512.5,946,5143,5730
2021-08-25,2861,3656,926,5123,5719
2021-08-26,2832.5,3586,943.5,5095,5592
2021-08-27,2839.5,3562,953.5,5108,5693
2021-08-30,2823,3631.5,947.5,5203,5775
2021-08-31,2992,3750,909,5299,5778
2021-09-01,3039.5,3828.5,880,5182,5670
2021-09-02,3191,3930,895,5290,5780
2021-09-03,3170,3826,910,5305,5900
2021-09-06,3400,4065,880,5340,5880
2021-09-07,3245,4164.5,851,5420,5880
2021-09-08,3169.5,4124.5,805,5401,5850
2021-09-09,3380,4325,820,5575,5850
2021-09-10,3150,4500,847,5560,5850
2021-09-13,2950,4499.5,769,5600,5850
2021-09-14,3050,3865.5,916,5600,5850
2021-09-15,3492,4120,782.5,5500,5850
2021-09-16,3444,4030,743,5652,5825
2021-09-17,3498,3992.5,672.5,5750,5780
2021-09-22,3595,4023,666,5935,5815
2021-09-23,3695,4056,678.5,5846,5742
2021-09-24,3709,3970,694,5768,5677
2021-09-27,3696.5,3966,714,5833,5707
2021-09-28,3715.5,4058,679.5,5795,5762
2021-09-29,3740,3970,675,5786,5771
2021-09-30,3750,4095,702.5,5866,5855
2021-10-08,3750,4100,715,5935,5890
2021-10-11,3789,4100,715,5910,5890
2021-10-12,3765,3950,715,5770,5738
2021-10-13,3861,3939.5,733.5,5625,5730
2021-10-14,3860,3939.5,740,5670,5740
2021-10-15,3995,3939.5,752,5780,5850
2021-10-18,3995,4249,674,5573,5816
2021-10-19,3995,4595.5,674,5680,5820
2021-10-20,3995,4261,607,5507,5717
2021-10-21,3801.5,4080.5,723,5127,5457
2021-10-22,3670,4230,675.5,4950,5490
2021-10-25,3814.5,4137,675,4896,5412
2021-10-26,3810,4210,703,4900,5400
2021-10-27,3717,4031.5,692,4699,5220
2021-10-28,3520,3983,656.5,4787,5150
2021-10-29,3589,4170,624,4337,5235
2021-11-01,3630,4300,641.5,4600,5213
2021-11-02,3550,4300,631,4400,5080
2021-11-03,3550,4300,633.5,4550,5020
2021-11-04,3400,4150,586.5,4400,5020
2021-11-05,3400,4325.5,586.5,4490,5020
2021-11-08,3400,4323.5,586.5,4520,5020
2021-11-09,3400,4120.5,586.5,4480,4800
2021-11-10,3400,4100,586.5,4344,4650
2021-11-11,3400,4100,586.5,4490,4500
2021-11-12,3497.5,4100,633,4350,4860
2021-11-15,2540,3258.5,547.5,4350,4720
2021-11-16,2471,3138,539,4307,4623
2021-11-17,2407,3052.5,538.5,4328,4618
2021-11-18,2363,3098.5,511,4267,4550
2021-11-19,2420,3090,533.5,4290,4655
2021-11-22,2453,3000.5,549.5,4306,4619
2021-11-23,2530.5,2970,569,4282,4662
2021-11-24,2592,3092.5,604.5,4367,4751
2021-11-25,2631.5,3040,596.5,4398,4788
2021-11-26,2508,2900,568.5,4262,4684
2021-11-29,2562.5,2821.5,608,4190,4670
2021-11-30,2599.5,2795,585,4049,4651
2021-12-01,2790,2730,600,4290,4790
2021-12-02,2796,2750,598,4360,4715
2021-12-03,2670,2830,605.5,4301,4840
2021-12-06,2752,2760,598,4360,4780
2021-12-07,2590,2760,604,4380,4780
2021-12-08,2590,2760,639,4380,5082
2021-12-09,2500,2760,634.5,4300,5000
2021-12-10,2500,2760,633,4300,4950
2021-12-13,2500,2760,635,4303,4950
2021-12-14,2683,2751.5,602,4303,4950
2021-12-15,2022,2987,666.5,4303,4950
2021-12-16,2067,3021.5,679,4704,4868
2021-12-17,2072.5,3035.5,681.5,4671,4826
2021-12-20,2100.5,2980,673.5,4640,4788
2021-12-21,2108,2999,690,4678,4768
2021-12-22,2116,2980.5,689.5,4645,4760
2021-12-23,2117,3002,687,4673,4785
2021-12-24,2140,3048.5,708,4698,4795
2021-12-27,2100,2919,686.5,4540,4666
2021-12-28,2084.5,2893,679.5,4559,4715
2021-12-29,2070,2903,674,4567,4734
2021-12-30,2076,2944,681,4535,4722
2021-12-31,2040,2963.5,633,4550,4700
2022-01-04,2100.5,3035,694,4595,4730
2022-01-05,2160,3180,691,4630,4780
2022-01-06,2184.5,3093.5,702.5,4675,4820
2022-01-07,2241.5,3100,705.5,4620,4820
2022-01-10,2397,3100,700,4510,4806
2022-01-11,2377.5,3253.5,700,4622,4855
2022-01-12,2400,3125,735.5,4635,4869
2022-01-13,2482,3125,735,4635,4880
2022-01-14,2335,3110,736,4695,4846
2022-01-17,2366,3000,695,4650,4899
2022-01-18,2421,2961.5,729.5,4635,4827
2022-01-19,2424,2994,746.5,4740,4919
2022-01-20,2492,3077,754.5,4733,4920
2022-01-21,2450,3127.5,762,4722,4918
2022-01-24,2478,3110,748.5,4711,4878
2022-01-25,2452.5,3199,767.5,4742,4930
2022-01-26,2563,3249.5,776,4738,4948
2022-01-27,2479.5,3249.5,775,4700,4900
2022-01-28,2109,3250,835,5051,4900
2022-02-07,2658,3250,835,4800,5015
2022-02-08,2658,3250,835,4850,5100
2022-02-09,2658,3250,791.5,4850,5060
2022-02-10,2658,3250,819,4960,5080
2022-02-11,2658,3250,844,4999,5100
2022-02-14,2658,3250,806,4800,5088
2022-02-15,2658,3250,806,4700,4900
2022-02-16,2658,3250,725.5,4865,4989
2022-02-17,2658,3250,725.5,4738,4901
2022-02-18,2658,3250,808,4813,4959
2022-02-21,2760,3263.5,724,4865,5000
2022-02-22,2605,3410,708,4806,4923
2022-02-23,2600,3416.5,726.5,4829,4985
2022-02-24,2637.5,3444.5,732.5,4695,4885
2022-02-25,2500,3350,713.5,4643,4865
2022-02-28,2700,3500,720,4830,5130
2022-03-01,2642,3500,747.5,4830,5100
2022-03-02,2642,3530,772.5,4850,5140
2022-03-03,2642,3527.5,812.5,4977,5298
2022-03-04,2642,3527.5,822,4985,5285
2022-03-07,2642,3527.5,822,5090,5400
2022-03-08,2642,3527.5,822,5085,5337
2022-03-09,2642,3527.5,822,4820,5208
2022-03-10,2642,3527.5,822,4990,5128
2022-03-11,3020,3527.5,822,4900,5158
2022-03-14,2750,3507,847.5,4889,5030
2022-03-15,3199,3659,790,4889,5023
2022-03-16,3199,3760,821,4920,5072
2022-03-17,3200,3800,830,4908,5037
2022-03-18,3274,3800,858.5,4948,5125
2022-03-21,3155.5,3800,862,4931,5129
2022-03-22,3071.5,3656,843,4933,5179
2022-03-23,3143,3656,860,4950,5180
2022-03-24,3113.5,3680.5,854.5,4940,5148
2022-03-25,3245,3680.5,887.5,4929,5267
2022-03-28,3368,3810,908.5,5058,5303
2022-03-29,3519.5,3917.5,921,5048,5254
2022-03-30,3531.5,4249.5,914,5089,5270
2022-03-31,3792,4190,949,5109,5106
2022-04-01,3741,4450,883,5115,5349
