date,rb,hc
2020-01-03,3750,3757
2020-01-06,3750,3760
2020-01-07,3748,3765
2020-01-08,3761,3815
2020-01-09,3766,3800
2020-01-10,3881,3829
2020-01-13,3801,3801
2020-01-14,3925,3820
2020-01-15,3770,3874
2020-01-16,3671,3713
2020-01-17,3691,3800
2020-01-20,3694,3817
2020-01-21,3702,3820
2020-01-22,3679,3850
2020-01-23,3620,3873
2020-02-03,3335,3563
2020-02-04,3350,3520
2020-02-05,3380,3450
2020-02-06,3370,3420
2020-02-07,3368,3420
2020-02-10,3380,3420
2020-02-11,3380,3420
2020-02-12,3380,3420
2020-02-13,3380,3420
2020-02-14,3378,3420
2020-02-17,3378,3420
2020-02-18,3369,3451
2020-02-19,3365,3451
2020-02-20,3413,3519
2020-02-21,3428,3550
2020-02-24,3460,3550
2020-02-25,3485,3606
2020-02-26,3468,3600
2020-02-27,3400,3600
2020-02-28,3400,3600
2020-03-02,3431,3546
2020-03-03,3431,3550
2020-03-04,3480,3550
2020-03-05,3473,3570
2020-03-06,3470,3570
2020-03-09,3401,3500
2020-03-10,3470,3500
2020-03-11,3486,3500
2020-03-12,3486,3500
2020-03-13,3450,3520
2020-03-16,3500,3520
2020-03-17,3496,3600
2020-03-18,3488,3530
2020-03-19,3450,3500
2020-03-20,3438,3450
2020-03-23,3379,3400
2020-03-24,3397,3350
2020-03-25,3441,3350
2020-03-26,3445,3352
2020-03-27,3435,3350
2020-03-30,3410,3350
2020-03-31,3297,3153
2020-04-01,3353,3153
2020-04-02,3310,3153
2020-04-03,3292,3153
2020-04-07,3322,3200
2020-04-08,3325,3200
2020-04-09,3326,3200
2020-04-10,3450,3200
2020-04-13,3450,3200
2020-04-14,3470,3200
2020-04-15,3420,3200
2020-04-16,3540,3373
2020-04-17,3542,3378
2020-04-20,3533,3367
2020-04-21,3507,3335
2020-04-22,3537,3350
2020-04-23,3503,3318
2020-04-24,3517,3332
2020-04-27,3513,3327
2020-04-28,3492,3313
2020-04-29,3486,3320
2020-04-30,3524,3306
2020-05-06,3559,3322
2020-05-07,3587,3363
2020-05-08,3536,3382
2020-05-11,3407,3385
2020-05-12,3428,3400
2020-05-13,3419,3395
2020-05-14,3406,3416
2020-05-15,3400,3429
2020-05-18,3551,3424
2020-05-19,3577,3411
2020-05-20,3530,3550
2020-05-21,3570,3550
2020-05-22,3613,3505
2020-05-25,3597,3500
2020-05-26,3560,3499
2020-05-27,3504,3463
2020-05-28,3430,3500
2020-05-29,3444,3721
2020-06-01,3504,3620
2020-06-02,3585,3650
2020-06-03,3537,3650
2020-06-04,3537,3620
2020-06-05,3537,3605
2020-06-08,3600,3650
2020-06-09,3600,3650
2020-06-10,3600,3630
2020-06-11,3600,3630
2020-06-12,3600,3630
2020-06-15,3600,3630
2020-06-16,3693,3621
2020-06-17,3702,3646
2020-06-18,3714,3733
2020-06-19,3712,3687
2020-06-22,3719,3732
2020-06-23,3746,3732
2020-06-24,3725,3732
2020-06-29,3680,3692
2020-06-30,3798,3700
2020-07-01,3640,3700
2020-07-02,3655,3700
2020-07-03,3655,3700
2020-07-06,3655,3721
2020-07-07,3655,3721
2020-07-08,3633,3721
2020-07-09,3660,3721
2020-07-10,3620,3870
2020-07-13,3651,3800
2020-07-14,3651,3800
2020-07-15,3651,3880
2020-07-16,3687,3887
2020-07-17,3688,3870
2020-07-20,3698,3850
2020-07-21,3717,3854
2020-07-22,3773,3900
2020-07-23,3798,3908
2020-07-24,3784,3907
2020-07-27,3785,3860
2020-07-28,3816,3851
2020-07-29,3840,3893
2020-07-30,3789,3921
2020-07-31,3660,4000
2020-08-03,3780,4000
2020-08-04,3750,4030
2020-08-05,3771,4030
2020-08-06,3771,4030
2020-08-07,3771,4030
2020-08-10,3771,4030
2020-08-11,3760,4030
2020-08-12,3718,4030
2020-08-13,3718,4030
2020-08-14,3718,4030
2020-08-17,3718,4030
2020-08-18,3796,4068
2020-08-19,3750,4036
2020-08-20,3727,3995
2020-08-21,3729,4001
2020-08-24,3752,4007
2020-08-25,3733,4052
2020-08-26,3737,4034
2020-08-27,3721,4069
2020-08-28,3746,4046
2020-08-31,3755,4100
2020-09-01,3760,4090
2020-09-02,3750,4085
2020-09-03,3815,4085
2020-09-04,3780,4085
2020-09-07,3775,4040
2020-09-08,3778,4040
2020-09-09,3771,4040
2020-09-10,3710,3990
2020-09-11,3729,3950
2020-09-14,3748,3950
2020-09-15,3690,3950
2020-09-16,3673,3845
2020-09-17,3647,3840
2020-09-18,3672,3864
2020-09-21,3608,3833
2020-09-22,3614,3831
2020-09-23,3622,3822
2020-09-24,3628,3835
2020-09-25,3611,3837
2020-09-28,3627,3835
2020-09-29,3620,3836
2020-09-30,3607,3840
2020-10-09,3638,3894
2020-10-12,3610,3976
2020-10-13,3630,3940
2020-10-14,3625,3940
2020-10-15,3645,3912
2020-10-16,3645,3860
2020-10-19,3631,3834
2020-10-20,3660,3822
2020-10-21,3660,3838
2020-10-22,3673,3838
2020-10-23,3628,3838
2020-10-26,3611,3803
